# Ledger: Ucapan Belanjawan 2026 (ub26.md), 1279 units from scripts/split-source.js
# Backfilled 2026-09-26 from the text only (no web). gap/ask rows are open questions for the user (step 5).
# unit	decision	note
L1.32.21	item:skim_perubatan_madani	
L1.32.22	bulk	
L1.32.23	bulk	
L1.32.24	exclude:allocation	
L1.32.25	bulk	
L1.32.26	bulk	
L1.32.27	exclude:governance	
L1.32.28	item:peka_b40	
L1.33	bulk	
L1.33.1	bulk	
L1.33.2	bulk	
L1.33.3	bulk	
L1.33.4	bulk	
L1.33.5	bulk	
L1.33.6	bulk	
L1.33.7	exclude:governance	
L1.33.8	item:rmt_biasiswa	restates
L1.33.9	bulk	
L1.33.10	bulk	
L1.33.11	bulk	
L1.33.12	bulk	
L1.33.13	exclude:infra	reviewed
L1.33.14	item:elaun_mbk	restates
L1.33.15	item:autisme	restates
L1.33.16	bulk	
L1.33.17	bulk	
L1.33.18	bulk	
L1.33.19	bulk	
L1.33.20	bulk	
L1.33.21	exclude:business	
L1.33.22	item:celik_madani	restates
L1.33.23	item:dapur_madani	restates
L1.33.24	item:dapur_madani	restates
L1.33.25	item:job_on_campus	restates
L1.33.26	exclude:governance	
L1.33.27	item:ptptn_kelas_pertama	restates
L1.33.28	item:gapai	
L1.33.29	bulk	
L1.33.30	bulk	
L1.33.31	bulk	
L1.33.32	bulk	
L1.33.33	bulk	
L1.33.34	bulk	
L1.33.35	bulk	
L1.33.36	bulk	
L1.33.37	exclude:infra	
L1.33.38	bulk	
L1.33.39	bulk	
L1.34	bulk	
L1.34.1	exclude:governance	
L1.34.2	item:ras	restates
L1.34.3	item:myraillife	restates
L1.34.4	bulk	
L1.34.5	bulk	
L1.34.6	bulk	
L1.34.7	bulk	
L1.34.8	bulk	
L1.34.9	exclude:governance	
L1.34.10	bulk	
L1.34.11	bulk	
L1.34.12	bulk	
L1.34.13	item:lupus_kenderaan	restates
L1.34.14	bulk	
L1.34.15	bulk	
L1.34.16	ask	Potongan cukai sumbangan projek komuniti/hentian bas
L1.35	bulk	
L1.35.1	bulk	
L1.35.2	bulk	
L1.35.3	item:rumah_mampu_milik	
L1.35.4	item:sjkp_inklusif	restates
L1.35.5	bulk	
L1.35.6	item:rumah_daif	
L1.35.7	bulk	
L1.35.8	bulk	
L1.35.9	bulk	
L1.35.10	bulk	
L1.35.11	exclude:governance	
L1.35.12	bulk	
L1.35.13	bulk	
L1.35.14	bulk	
L1.35.15	bulk	
L1.35.16	ask	Pendaftaran hak milik strata rumah kos rendah untuk B40
L1.35.17	exclude:business	
L1.35.18	item:sjkp_akses	restates
L1.35.19	item:sjkp_inklusif	restates
L1.35.20	item:step_up	restates
L1.35.21	item:sjkp_akses	
L1.35.22	item:sjkp_inklusif	
L1.36	bulk	
L1.36.1	bulk	
L1.36.2	exclude:business	
L1.36.3	exclude:governance	
L1.36.4	exclude:institution	
L1.36.5	bulk	
L1.36.6	ask	Elaun bulanan imam, guru KAFA dan guru takmir (diteruskan)
L1.36.7	exclude:institution	reviewed
L1.36.8	item:kwsp_haji	restates
L1.36.9	item:gcr_haji	restates
L1.36.10	item:sumbangan_agama	restates
L1.37	bulk	
L1.37.1	bulk	
L1.37.2	bulk	
L1.37.3	bulk	
L1.37.4	exclude:institution	
L1.37.5	bulk	
L1.37.6	bulk	
L1.37.7	exclude:governance	
L1.37.8	bulk	
L1.37.9	bulk	
L1.37.10	bulk	
L1.38	bulk	
L1.38.1	bulk	
L1.38.2	bulk	
L1.38.3	bulk	
L1.38.4	bulk	
L1.39	bulk	
L1.39.1	exclude:governance	
L1.39.2	bulk	
L1.39.3	bulk	
L1.39.4	bulk	
L1.39.5	bulk	
L1.39.6	bulk	
L1.39.7	bulk	
L1.40	bulk	
L1.40.1	exclude:infra	
L1.40.2	item:rumah_kontrak_awam	restates
L1.40.3	item:lppsa	restates
L1.40.4	item:lppsa	restates
L1.40.5	bulk	
L1.40.6	bulk	
L1.40.7	item:penjawat_sspa	restates
L1.40.8	gap	= P238
L1.40.9	gap	Kenaikan Bayaran Insentif Pasukan Khas (BIPK) & Pasukan Atur Cara (BIPAC) (Lampiran I sahaja)
L1.40.10	gap	Pelanjutan bayaran penghargaan khas kepada pesara & penerima pencen terbitan Jan–Dis (Lampiran I sahaja)
L1.40.11	item:penjawat_sspa	restates
L1.40.12	item:pjm	restates
L1.40.13	gap	APEL.Q INTAN: Kerajaan tanggung 50% kos pengajian (maks RM15,000) penjawat awam berkhidmat >15 tahun (Lampiran I sahaja)
L1.40.14	exclude:business	
L1.40.15	item:bkk_penjawat	restates
L2.1	item:tax_vaksin	restates
L2.2	item:tax_taska	
L2.3	item:tax_kurang_upaya	restates
L2.4	item:tax_insurans	
L2.5	item:tax_lestari	
L2.6	item:tax_pelancongan	
L2.7	item:cukai_plt	
L2.8	exclude:business	
L2.9	exclude:business	
L2.10	exclude:institution	
L2.11	exclude:business	
L2.12	ask	= P28
L2.13	ask	= P205
L2.14	ask	= P218
L2.15	item:duti_rumah_pertama	
L2.16	item:duti_insurans_kecil	restates
L2.17	exclude:business	
L2.18	item:pelabur_runcit	
L2.19	exclude:business	
L2.20	item:duti_kontrak_kerja	
L2.21	exclude:business	
L2.22	exclude:business	
L2.23	exclude:business	
L2.24	exclude:business	
L2.25	exclude:business	
L2.26	exclude:business	
L2.27	exclude:business	
L2.28	exclude:business	
L2.29	exclude:governance	
L2.30	exclude:business	
L2.31	exclude:business	
L2.32	exclude:business	
L2.33	exclude:governance	
L2.34	exclude:business	
L2.35	exclude:infra	
L2.36	exclude:governance	
L2.37	item:duti_cerut	restates
L2.38	item:duti_heated_tobacco	restates
L2.39	item:berhenti_merokok	restates
L2.40	exclude:governance	
